Delivery Date,Delivery Hour,Settlement Point Name,Average Hourly Price
2025-01-02,1,HB_SOUTH,19.8625
2025-01-02,1,HB_WEST,19.78
2025-01-02,2,HB_HOUSTON,18.985
2025-01-02,2,HB_NORTH,18.9825
2025-01-02,2,HB_PAN,0.2675
2025-01-02,2,HB_SOUTH,18.9875
2025-01-02,2,HB_WEST,18.9875
2025-01-02,3,HB_HOUSTON,18.92
2025-01-02,3,HB_NORTH,18.9075
2025-01-02,3,HB_PAN,3.5375
2025-01-02,3,HB_SOUTH,18.927500000000002
2025-01-02,3,HB_WEST,18.9375
2025-01-02,4,HB_HOUSTON,19.2875
2025-01-02,4,HB_NORTH,19.2725
2025-01-02,4,HB_PAN,19.2
2025-01-02,4,HB_SOUTH,19.2975
2025-01-02,4,HB_WEST,19.3
2025-01-02,5,HB_HOUSTON,20.33
2025-01-02,5,HB_NORTH,20.310000000000002
2025-01-02,5,HB_PAN,20.3
2025-01-02,5,HB_SOUTH,20.33
2025-01-02,5,HB_WEST,20.34
2025-01-02,6,HB_HOUSTON,21.12
2025-01-02,6,HB_NORTH,21.1025
2025-01-02,6,HB_PAN,21.095
2025-01-02,6,HB_SOUTH,21.1275
2025-01-02,6,HB_WEST,21.134999999999998
2025-01-02,7,HB_HOUSTON,24.552500000000002
2025-01-02,7,HB_NORTH,24.53
2025-01-02,7,HB_PAN,24.52
2025-01-02,7,HB_SOUTH,24.555
2025-01-02,7,HB_WEST,24.57
2025-01-02,8,HB_HOUSTON,23.9225
2025-01-02,8,HB_NORTH,23.9025
2025-01-02,8,HB_PAN,23.892500000000002
2025-01-02,8,HB_SOUTH,23.9225
2025-01-02,8,HB_WEST,23.942500000000003
2025-01-02,9,HB_HOUSTON,21.7175
2025-01-02,9,HB_NORTH,21.71
2025-01-02,9,HB_PAN,21.7025
2025-01-02,9,HB_SOUTH,21.7175
2025-01-02,9,HB_WEST,21.725
2025-01-02,10,HB_HOUSTON,20.7875
2025-01-02,10,HB_NORTH,19.865
2025-01-02,10,HB_PAN,19.552500000000002
2025-01-02,10,HB_SOUTH,21.802500000000002
2025-01-02,10,HB_WEST,19.39
2025-01-02,11,HB_HOUSTON,23.1475
2025-01-02,11,HB_NORTH,23.1
2025-01-02,11,HB_PAN,23.1425
2025-01-02,11,HB_SOUTH,23.23
2025-01-02,11,HB_WEST,23.2075
2025-01-02,12,HB_HOUSTON,23.055
2025-01-02,12,HB_NORTH,23.1475
2025-01-02,12,HB_PAN,23.23
2025-01-02,12,HB_SOUTH,22.9725
2025-01-02,12,HB_WEST,23.2725
2025-01-02,13,HB_HOUSTON,23.61
2025-01-02,13,HB_NORTH,23.61
2025-01-02,13,HB_PAN,23.61
2025-01-02,13,HB_SOUTH,23.61
2025-01-02,13,HB_WEST,23.61
2025-01-02,14,HB_HOUSTON,27.575
2025-01-02,14,HB_NORTH,27.575
2025-01-02,14,HB_PAN,27.575
2025-01-02,14,HB_SOUTH,27.575
2025-01-02,14,HB_WEST,27.575
2025-01-02,15,HB_HOUSTON,27.005
2025-01-02,15,HB_NORTH,27.005
2025-01-02,15,HB_PAN,27.005
2025-01-02,15,HB_SOUTH,27.005
2025-01-02,15,HB_WEST,27.005
2025-01-02,16,HB_HOUSTON,24.3925
2025-01-02,16,HB_NORTH,24.3925
2025-01-02,16,HB_PAN,24.3925
2025-01-02,16,HB_SOUTH,24.3925
2025-01-02,16,HB_WEST,24.3925
2025-01-02,17,HB_HOUSTON,27.455000000000002
2025-01-02,17,HB_NORTH,27.455000000000002
2025-01-02,17,HB_PAN,27.455000000000002
2025-01-02,17,HB_SOUTH,27.455000000000002
2025-01-02,17,HB_WEST,27.455000000000002
2025-01-02,18,HB_HOUSTON,43.7275
2025-01-02,18,HB_NORTH,43.59
2025-01-02,18,HB_PAN,44.5275
2025-01-02,18,HB_SOUTH,43.975
2025-01-02,18,HB_WEST,45.515
2025-01-02,19,HB_HOUSTON,42.3125
2025-01-02,19,HB_NORTH,42.075
2025-01-02,19,HB_PAN,44.45
2025-01-02,19,HB_SOUTH,42.82
2025-01-02,19,HB_WEST,46.9475
2025-01-02,20,HB_HOUSTON,41.3925
2025-01-02,20,HB_NORTH,41.21
2025-01-02,20,HB_PAN,44.2225
2025-01-02,20,HB_SOUTH,41.9075
2025-01-02,20,HB_WEST,47.3825
2025-01-02,21,HB_HOUSTON,35.09
2025-01-02,21,HB_NORTH,33.995
2025-01-02,21,HB_PAN,35.120000000000005
2025-01-02,21,HB_SOUTH,36.4275
2025-01-02,21,HB_WEST,36.635
2025-01-02,22,HB_HOUSTON,27.4525
2025-01-02,22,HB_NORTH,24.185000000000002
2025-01-02,22,HB_PAN,24.7075
2025-01-02,22,HB_SOUTH,31.155
2025-01-02,22,HB_WEST,26.2825
2025-01-02,23,HB_HOUSTON,25.41
2025-01-02,23,HB_NORTH,22.4025
2025-01-02,23,HB_PAN,22.895
2025-01-02,23,HB_SOUTH,28.8075
2025-01-02,23,HB_WEST,24.369999999999997
2025-01-02,24,HB_HOUSTON,23.3175
2025-01-02,24,HB_NORTH,21.4025
2025-01-02,24,HB_PAN,22.15
2025-01-02,24,HB_SOUTH,25.525
2025-01-02,24,HB_WEST,23.65
2025-01-03,1,HB_HOUSTON,23.12
2025-01-03,1,HB_NORTH,21.7075
2025-01-03,1,HB_PAN,19.9825
2025-01-03,1,HB_SOUTH,24.627499999999998
2025-01-03,1,HB_WEST,23.5825
2025-01-03,2,HB_HOUSTON,22.7
2025-01-03,2,HB_NORTH,21.5425
2025-01-03,2,HB_PAN,17.1325
2025-01-03,2,HB_SOUTH,23.835
2025-01-03,2,HB_WEST,26.3075
2025-01-03,3,HB_HOUSTON,22.1375
2025-01-03,3,HB_NORTH,21.165
2025-01-03,3,HB_PAN,17.8425
2025-01-03,3,HB_SOUTH,23.0875
2025-01-03,3,HB_WEST,24.27
2025-01-03,4,HB_HOUSTON,21.9575
2025-01-03,4,HB_NORTH,21.119999999999997
2025-01-03,4,HB_PAN,19.4625
2025-01-03,4,HB_SOUTH,22.7775
2025-01-03,4,HB_WEST,20.9825
2025-01-03,5,HB_HOUSTON,21.91
2025-01-03,5,HB_NORTH,21.16
2025-01-03,5,HB_PAN,20.2225
